ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC14001367.hg.1,TC14001367.hg.1,-1.7816174903529616,3.180818747156617e-73,1.2376236694971174e-70,5.168208155287334,6.949825645640296
TC12001212.hg.1,TC12001212.hg.1,-1.9475950017231503,3.228011856173726e-73,1.2473833760384196e-70,4.609931590103885,6.557526591827036
TC16000430.hg.1,TC16000430.hg.1,-1.4243303344807998,3.283740313407985e-73,1.2602861292642973e-70,8.068495347985346,9.492825682466146
TC22000941.hg.1,TC22000941.hg.1,-1.9496814330555425,3.3836351191657025e-73,1.2898508523857473e-70,3.99930422446406,5.948985657519603
TC11001976.hg.1,TC11001976.hg.1,-1.7985443815189308,4.0515724935893856e-73,1.5341048117001742e-70,6.239251709001382,8.037796090520313
TC16001798.hg.1,TC16001798.hg.1,-1.147024476938479,4.930890401640235e-73,1.854606497864925e-70,5.4757433675614,6.6227678444998785
TC19002167.hg.1,TC19002167.hg.1,-1.4892126782287551,5.583464060733531e-73,2.072420232753055e-70,5.803822236834205,7.29303491506296
TC07001502.hg.1,TC07001502.hg.1,-2.350442976908454,5.5707585065935965e-73,2.072420232753055e-70,6.47764426649853,8.828087243406983
TC01003725.hg.1,TC01003725.hg.1,-1.663047789900764,6.622121836256457e-73,2.4418749657380184e-70,5.950253493064313,7.613301282965077
TC02000364.hg.1,TC02000364.hg.1,-1.6643121464600936,6.834651133023108e-73,2.503878880668167e-70,6.697252798895094,8.361564945355187
TC03002407.hg.1,TC03002407.hg.1,-2.3432795510470728,9.461043846941559e-73,3.4436978823016053e-70,3.700899500390321,6.044179051437394
TC05002211.hg.1,TC05002211.hg.1,-1.6164257375091058,1.0799822806701837e-72,3.905797455823745e-70,5.223252367741548,6.839678105250654
TC12000743.hg.1,TC12000743.hg.1,-3.7264921656432204,1.4150883971972784e-72,5.085124661979366e-70,5.107347536780161,8.833839702423381
TC01000689.hg.1,TC01000689.hg.1,-2.469843163126373,1.457802236178117e-72,5.205461174727658e-70,3.9633524349966978,6.433195598123071
TC17001201.hg.1,TC17001201.hg.1,-2.5739298930209698,1.48286559159985e-72,5.261654776533355e-70,6.284877219119678,8.858807112140648
TC19001257.hg.1,TC19001257.hg.1,-1.8705282530305238,1.594664699615364e-72,5.622987063931226e-70,6.043606568185913,7.914134821216437
TC12001607.hg.1,TC12001607.hg.1,-2.6014463928356077,1.9177822104179242e-72,6.720337686171332e-70,5.3346448099441535,7.936091202779761
TC22000421.hg.1,TC22000421.hg.1,-1.0901192412452119,1.943993664659695e-72,6.770137936590782e-70,6.450520570467784,7.540639811712996
TC16000766.hg.1,TC16000766.hg.1,-0.9407325658257202,2.1754628893863213e-72,7.529770876895551e-70,6.862951157148857,7.8036837229745775
TC03001860.hg.1,TC03001860.hg.1,-1.208644541765552,2.2652238435189147e-72,7.792646268515252e-70,5.50453543625773,6.713179978023282
TC16000651.hg.1,TC16000651.hg.1,-1.1458845127069415,2.3629883768007125e-72,8.079701711657127e-70,6.642149421125323,7.788033933832264
TC06002625.hg.1,TC06002625.hg.1,-2.076054324432988,2.578970201777482e-72,8.76508077372783e-70,6.163334665825976,8.239388990258965
TC08001083.hg.1,TC08001083.hg.1,-1.9980384694036086,3.3547755226962607e-72,1.1333516493381895e-69,4.825930104485679,6.823968573889288
TC06000024.hg.1,TC06000024.hg.1,-1.370177969872251,5.090061184015203e-72,1.7093516183319628e-69,6.437010487599832,7.807188457472083
TC19000231.hg.1,TC19000231.hg.1,-1.311939169956326,6.916113729321616e-72,2.3088361205968454e-69,6.656516582597726,7.9684557525540525
TC19000273.hg.1,TC19000273.hg.1,-0.4860711116550336,7.548967298348947e-72,2.505280217872064e-69,5.498065596589204,5.984136708244238
TC10001397.hg.1,TC10001397.hg.1,-2.657111527998608,7.859566918917374e-72,2.59310553468702e-69,5.304755926860026,7.961867454858634
TC01004415.hg.1,TC01004415.hg.1,-2.4942416831541,8.473076853120497e-72,2.7792677319729777e-69,4.142820942172581,6.637062625326681
TC07003307.hg.1,TC07003307.hg.1,-1.4781837688339152,9.580050232894635e-72,3.1242038961817886e-69,6.869367420284634,8.34755118911855
TC01001789.hg.1,TC01001789.hg.1,-2.484811055711333,1.5489160270601316e-71,5.022226690498764e-69,4.740036317180088,7.224847372891421
TC02002731.hg.1,TC02002731.hg.1,-2.2866481455162777,1.7722996940447167e-71,5.713691665063704e-69,4.13328290758422,6.419931053100497
TC04000373.hg.1,TC04000373.hg.1,-2.411271444517112,1.925429637687412e-71,6.172095982900477e-69,3.7348849732780884,6.146156417795201
TC0X001076.hg.1,TC0X001076.hg.1,-3.5230204634039035,2.1540998399020452e-71,6.866101964270825e-69,5.0502257274965485,8.573246190900452
TC05001693.hg.1,TC05001693.hg.1,-3.413283539406663,3.084574057982165e-71,9.776713438384146e-69,5.844890276226506,9.25817381563317
TC16000461.hg.1,TC16000461.hg.1,-1.8802971636981471,3.8841179573665936e-71,1.2174120384372692e-68,5.912369573650396,7.792666737348543
TC06002132.hg.1,TC06002132.hg.1,-3.2748055714142152,3.863597678903736e-71,1.2174120384372692e-68,5.224223331531856,8.49902890294607
TC04001730.hg.1,TC04001730.hg.1,-1.7987800684887683,4.004761273290706e-71,1.2482907266105805e-68,5.522524300126104,7.321304368614872
TC19000168.hg.1,TC19000168.hg.1,-1.0627174390826566,4.1930811345163365e-71,1.2998090738853994e-68,6.648039210952986,7.710756650035642
TC12000744.hg.1,TC12000744.hg.1,-2.1255792439735366,4.518563726727984e-71,1.3930509745056797e-68,4.9512878058007574,7.076867049774294
TC05002389.hg.1,TC05002389.hg.1,-1.556616959693903,4.6983325254797475e-71,1.440600676209328e-68,4.334762331111511,5.891379290805414
TC15002776.hg.1,TC15002776.hg.1,2.260231703231435,5.749440338143701e-71,1.753361756742656e-68,8.7524436918273,6.492211988595866
TC20001590.hg.1,TC20001590.hg.1,-4.373639043852918,6.8828334455769e-71,2.0877188028632126e-68,4.343511517444305,8.717150561297222
TC02000877.hg.1,TC02000877.hg.1,-3.0269055072855346,1.0606152925679384e-70,3.1998820094170024e-68,4.7523474827358445,7.779252990021379
TC17000695.hg.1,TC17000695.hg.1,-0.9135752252499199,1.300126974516666e-70,3.901625725972408e-68,6.683601681378734,7.597176906628654
TC04001262.hg.1,TC04001262.hg.1,-3.0800384313506637,1.309235123894894e-70,3.908170752375774e-68,5.334656119017593,8.414694550368257
TC06000377.hg.1,TC06000377.hg.1,-2.880207485627346,1.5184955145385093e-70,4.508972628380717e-68,5.594762305890831,8.474969791518177
TC02000783.hg.1,TC02000783.hg.1,-2.638994056854882,2.24856863753023e-70,6.641871486501597e-68,6.848725020716987,9.48771907757187
TC14000811.hg.1,TC14000811.hg.1,-0.9391763371464625,2.415206982030501e-70,7.096934766260251e-68,6.29688823935627,7.2360645765027325
TC13000140.hg.1,TC13000140.hg.1,-2.757644532366542,2.7835867533105928e-70,8.137015411827825e-68,6.645116191677174,9.402760724043716
TC22000150.hg.1,TC22000150.hg.1,-2.5744320626065536,3.14124507437384e-70,9.135194051856872e-68,5.470553191016633,8.044985253623187
